allele_name	gene_family	consensus_gene_name	consensus_product	threshold	alleles_at_maximum_threshold	number_genomes	average_dose	min_dose	max_dose	genomes_containing_fissions	genomes_containing_duplications	number_fission_loci	number_duplicated_loci	no_loci	products	gene_names	min_length(bp)	max_length(bp)	average_length(bp)	cluster	cluster_order	GCA_029747675_1_ASM2974767v1_genomic	GCA_029747785_1_ASM2974778v1_genomic	GCA_029747985_1_ASM2974798v1_genomic	GCA_029952765_1_ASM2995276v1_genomic	GCA_030235225_1_ASM3023522v1_genomic	GCA_030235235_1_ASM3023523v1_genomic	GCA_030235265_1_ASM3023526v1_genomic	GCA_030235285_1_ASM3023528v1_genomic	GCA_030235295_1_ASM3023529v1_genomic	GCA_030235325_1_ASM3023532v1_genomic	GCA_030235345_1_ASM3023534v1_genomic	GCA_030235365_1_ASM3023536v1_genomic	GCA_030235385_1_ASM3023538v1_genomic	GCA_030235405_1_ASM3023540v1_genomic	GCA_030235425_1_ASM3023542v1_genomic	GCA_030235435_1_ASM3023543v1_genomic	GCA_030235465_1_ASM3023546v1_genomic	GCA_030235485_1_ASM3023548v1_genomic	GCA_030235505_1_ASM3023550v1_genomic	GCA_030235545_1_ASM3023554v1_genomic	GCA_030239725_1_ASM3023972v1_genomic	GCA_030239765_1_ASM3023976v1_genomic	GCA_030239785_1_ASM3023978v1_genomic	GCA_030239805_1_ASM3023980v1_genomic	GCA_030239825_1_ASM3023982v1_genomic	GCA_030239835_1_ASM3023983v1_genomic	GCA_030239865_1_ASM3023986v1_genomic	GCA_030239885_1_ASM3023988v1_genomic	GCA_030239895_1_ASM3023989v1_genomic	GCA_030239925_1_ASM3023992v1_genomic	GCA_030239935_1_ASM3023993v1_genomic	GCA_030239965_1_ASM3023996v1_genomic	GCA_030239985_1_ASM3023998v1_genomic	GCA_030240005_1_ASM3024000v1_genomic	GCA_030240015_1_ASM3024001v1_genomic	GCA_030240025_1_ASM3024002v1_genomic	GCA_030240065_1_ASM3024006v1_genomic	GCA_030240085_1_ASM3024008v1_genomic	GCA_030240105_1_ASM3024010v1_genomic	GCA_030240125_1_ASM3024012v1_genomic	GCA_030240135_1_ASM3024013v1_genomic	GCA_030240165_1_ASM3024016v1_genomic	GCA_030240185_1_ASM3024018v1_genomic
g00923_00006	g00923	NA	lipoyl(octanoyl) transferase LipB	98	1	43	1	1	1	0	0	0	0	43	lipoyl(octanoyl) transferase LipB(43)	NA(43)	858	951	887.23	1	1	CKFBNF_03100	PDKELN_02985	LKGPGJ_03005	NHAIDG_08715	JJKLOM_08655	KLBIAF_10625	PKJNML_06290	BJCJFD_02360	CJEPLJ_03885	NCGJEB_01780	FNBPHI_03710	AJPFBF_05955	IONAJF_07380	HDDGPA_05075	LGAECN_10490	KBFPKB_04085	NOBNEL_02525	BKGCNC_07060	DDPEJL_04010	CFCNNG_04125	LOBFBJ_06780	HJCBJE_04715	BDBJLG_08130	FMMFDJ_08235	GKNDCE_06880	FDHOFG_07100	CEFCCI_09025	KMLEIH_08215	NDPNHO_04805	OIKCCF_01290	EFBKIP_06590	CONBLF_01845	IAMNGM_07990	OCDEKD_01810	ABIDKG_03800	FIMDAF_09835	CNHFKG_02820	KGMBGA_05520	MLFLFD_08870	JAJJBD_02710	NOAGLL_00830	GHNCNC_03065	FPFKPL_00945
g00243_00006	g00243	NA	Lipoate synthase	98	1	43	1	1	1	0	0	0	0	43	Lipoate synthase(43)	NA(43)	951	951	951.00	1	2	CKFBNF_03105	PDKELN_02990	LKGPGJ_03010	NHAIDG_08710	JJKLOM_08650	KLBIAF_10620	PKJNML_06295	BJCJFD_02365	CJEPLJ_03890	NCGJEB_01785	FNBPHI_03705	AJPFBF_05950	IONAJF_07385	HDDGPA_05070	LGAECN_10495	KBFPKB_04080	NOBNEL_02520	BKGCNC_07065	DDPEJL_04005	CFCNNG_04120	LOBFBJ_06775	HJCBJE_04720	BDBJLG_08135	FMMFDJ_08230	GKNDCE_06885	FDHOFG_07105	CEFCCI_09030	KMLEIH_08210	NDPNHO_04810	OIKCCF_01285	EFBKIP_06585	CONBLF_01840	IAMNGM_07995	OCDEKD_01805	ABIDKG_03805	FIMDAF_09840	CNHFKG_02815	KGMBGA_05515	MLFLFD_08865	JAJJBD_02715	NOAGLL_00835	GHNCNC_03070	FPFKPL_00950
g00765_00006	g00765	NA	50S ribosomal protein L10	98	1	43	1	1	1	0	0	0	0	43	50S ribosomal protein L10(43)	NA(43)	648	648	648.00	1	3	CKFBNF_03110	PDKELN_02995	LKGPGJ_03015	NHAIDG_08705	JJKLOM_08645	KLBIAF_10615	PKJNML_06300	BJCJFD_06060	CJEPLJ_03895	NCGJEB_01790	FNBPHI_03700	AJPFBF_05945	IONAJF_07390	HDDGPA_05065	LGAECN_10500	KBFPKB_04075	NOBNEL_02515	BKGCNC_07070	DDPEJL_04000	CFCNNG_04115	LOBFBJ_06770	HJCBJE_04725	BDBJLG_08140	FMMFDJ_08225	GKNDCE_06890	FDHOFG_07110	CEFCCI_09035	KMLEIH_08205	NDPNHO_04815	OIKCCF_01280	EFBKIP_06580	CONBLF_01835	IAMNGM_08000	OCDEKD_01800	ABIDKG_03810	FIMDAF_09845	CNHFKG_02810	KGMBGA_05510	MLFLFD_08860	JAJJBD_02720	NOAGLL_00840	GHNCNC_03075	FPFKPL_00955
g00092_00006	g00092	NA	50S ribosomal protein L7/L12	98	1	43	1	1	1	0	0	0	0	43	50S ribosomal protein L7/L12(43)	NA(43)	396	396	396.00	1	4	CKFBNF_03115	PDKELN_03000	LKGPGJ_03020	NHAIDG_08700	JJKLOM_08640	KLBIAF_10610	PKJNML_06305	BJCJFD_06065	CJEPLJ_03900	NCGJEB_01795	FNBPHI_03695	AJPFBF_05940	IONAJF_07395	HDDGPA_05060	LGAECN_10505	KBFPKB_04070	NOBNEL_02510	BKGCNC_07075	DDPEJL_03995	CFCNNG_04110	LOBFBJ_06765	HJCBJE_04730	BDBJLG_08145	FMMFDJ_08220	GKNDCE_06895	FDHOFG_07115	CEFCCI_09040	KMLEIH_08200	NDPNHO_04820	OIKCCF_01275	EFBKIP_06575	CONBLF_01830	IAMNGM_08005	OCDEKD_01795	ABIDKG_03815	FIMDAF_09850	CNHFKG_02805	KGMBGA_05505	MLFLFD_08855	JAJJBD_02725	NOAGLL_00845	GHNCNC_03080	FPFKPL_00960
g00125_00006	g00125	NA	DNA-directed RNA polymerase subunit beta	98	1	43	1	1	1	0	0	0	0	43	DNA-directed RNA polymerase subunit beta(43)	NA(43)	3477	3477	3477.00	1	5	CKFBNF_03125	PDKELN_03010	LKGPGJ_03030	NHAIDG_08690	JJKLOM_08630	KLBIAF_10600	PKJNML_06315	BJCJFD_06075	CJEPLJ_03910	NCGJEB_01805	FNBPHI_03685	AJPFBF_05930	IONAJF_07405	HDDGPA_05050	LGAECN_10515	KBFPKB_04060	NOBNEL_02500	BKGCNC_07085	DDPEJL_03985	CFCNNG_04100	LOBFBJ_06755	HJCBJE_04740	BDBJLG_08155	FMMFDJ_08210	GKNDCE_06905	FDHOFG_07125	CEFCCI_09050	KMLEIH_08190	NDPNHO_04830	OIKCCF_01265	EFBKIP_06565	CONBLF_01820	IAMNGM_08015	OCDEKD_01785	ABIDKG_03825	FIMDAF_09860	CNHFKG_02795	KGMBGA_05495	MLFLFD_08845	JAJJBD_02735	NOAGLL_00855	GHNCNC_03090	FPFKPL_00970
g00144_00006	g00144	NA	DNA-directed RNA polymerase subunit beta'	98	1	43	1	1	1	0	0	0	0	43	DNA-directed RNA polymerase subunit beta'(43)	NA(43)	3891	3891	3891.00	1	6	CKFBNF_03130	PDKELN_03015	LKGPGJ_03035	NHAIDG_08685	JJKLOM_08625	KLBIAF_10595	PKJNML_06320	BJCJFD_06080	CJEPLJ_03915	NCGJEB_01810	FNBPHI_03680	AJPFBF_05925	IONAJF_07410	HDDGPA_05045	LGAECN_10520	KBFPKB_04055	NOBNEL_02495	BKGCNC_07090	DDPEJL_03980	CFCNNG_04095	LOBFBJ_06750	HJCBJE_04745	BDBJLG_08160	FMMFDJ_08205	GKNDCE_06910	FDHOFG_07130	CEFCCI_09055	KMLEIH_08185	NDPNHO_04835	OIKCCF_01260	EFBKIP_06560	CONBLF_01815	IAMNGM_08020	OCDEKD_01780	ABIDKG_03830	FIMDAF_09865	CNHFKG_02790	KGMBGA_05490	MLFLFD_08840	JAJJBD_02740	NOAGLL_00860	GHNCNC_03095	FPFKPL_00975
g00659_00006	g00659	NA	30S ribosomal protein S12	98	1	43	1	1	1	0	0	0	0	43	30S ribosomal protein S12(43)	NA(43)	372	372	372.00	1	7	CKFBNF_03135	PDKELN_03020	LKGPGJ_03040	NHAIDG_08680	JJKLOM_08620	KLBIAF_10590	PKJNML_06325	BJCJFD_06085	CJEPLJ_03920	NCGJEB_01815	FNBPHI_03675	AJPFBF_05920	IONAJF_07415	HDDGPA_05040	LGAECN_10525	KBFPKB_04050	NOBNEL_02490	BKGCNC_07095	DDPEJL_03975	CFCNNG_04090	LOBFBJ_06745	HJCBJE_04750	BDBJLG_08165	FMMFDJ_08200	GKNDCE_06915	FDHOFG_07135	CEFCCI_09060	KMLEIH_08180	NDPNHO_04840	OIKCCF_01255	EFBKIP_06555	CONBLF_01810	IAMNGM_08025	OCDEKD_01775	ABIDKG_03835	FIMDAF_09870	CNHFKG_02785	KGMBGA_05485	MLFLFD_08835	JAJJBD_02745	NOAGLL_00865	GHNCNC_03100	FPFKPL_00980
g00649_00006	g00649	NA	30S ribosomal protein S7	98	1	43	1	1	1	0	0	0	0	43	30S ribosomal protein S7(43)	NA(43)	471	471	471.00	1	8	CKFBNF_03140	PDKELN_03025	LKGPGJ_03045	NHAIDG_08675	JJKLOM_08615	KLBIAF_10585	PKJNML_06330	BJCJFD_06090	CJEPLJ_03925	NCGJEB_01820	FNBPHI_03670	AJPFBF_05915	IONAJF_07420	HDDGPA_05035	LGAECN_10530	KBFPKB_04045	NOBNEL_02485	BKGCNC_07100	DDPEJL_03970	CFCNNG_04085	LOBFBJ_06740	HJCBJE_04755	BDBJLG_08170	FMMFDJ_08195	GKNDCE_06920	FDHOFG_07140	CEFCCI_09065	KMLEIH_08175	NDPNHO_04845	OIKCCF_01250	EFBKIP_06550	CONBLF_01805	IAMNGM_08030	OCDEKD_01770	ABIDKG_03840	FIMDAF_09875	CNHFKG_02780	KGMBGA_05480	MLFLFD_08830	JAJJBD_02750	NOAGLL_00870	GHNCNC_03105	FPFKPL_00985
g00116_00006	g00116	NA	elongation factor G	98	1	43	1	1	1	0	0	0	0	43	elongation factor G(43)	NA(43)	2100	2100	2100.00	1	9	CKFBNF_03145	PDKELN_03030	LKGPGJ_03050	NHAIDG_08670	JJKLOM_08610	KLBIAF_10580	PKJNML_06335	BJCJFD_06095	CJEPLJ_03930	NCGJEB_01825	FNBPHI_03665	AJPFBF_05910	IONAJF_07425	HDDGPA_05030	LGAECN_10535	KBFPKB_04040	NOBNEL_02480	BKGCNC_07105	DDPEJL_03965	CFCNNG_04080	LOBFBJ_06735	HJCBJE_04760	BDBJLG_08175	FMMFDJ_08190	GKNDCE_06925	FDHOFG_07145	CEFCCI_09070	KMLEIH_08170	NDPNHO_04850	OIKCCF_01245	EFBKIP_06545	CONBLF_01800	IAMNGM_08035	OCDEKD_01765	ABIDKG_03845	FIMDAF_09880	CNHFKG_02775	KGMBGA_05475	MLFLFD_08825	JAJJBD_02755	NOAGLL_00875	GHNCNC_03110	FPFKPL_00990
g00556_00006	g00556	NA	elongation factor Tu	98	1	43	1	1	1	0	0	0	0	43	elongation factor Tu(43)	NA(43)	1191	1191	1191.00	1	10	CKFBNF_03150	PDKELN_03035	LKGPGJ_03055	NHAIDG_08665	JJKLOM_08605	KLBIAF_10575	PKJNML_06340	BJCJFD_06100	CJEPLJ_03935	NCGJEB_01830	FNBPHI_03660	AJPFBF_05905	IONAJF_07430	HDDGPA_05025	LGAECN_10540	KBFPKB_04035	NOBNEL_02475	BKGCNC_07110	DDPEJL_03960	CFCNNG_04075	LOBFBJ_06730	HJCBJE_04765	BDBJLG_08180	FMMFDJ_08185	GKNDCE_06930	FDHOFG_07150	CEFCCI_09075	KMLEIH_08165	NDPNHO_04855	OIKCCF_01240	EFBKIP_06540	CONBLF_01795	IAMNGM_08040	OCDEKD_01760	ABIDKG_03850	FIMDAF_09885	CNHFKG_02770	KGMBGA_05470	MLFLFD_08820	JAJJBD_02760	NOAGLL_00880	GHNCNC_03115	FPFKPL_00995
g01797_00004	g01797	NA	Protein N-acetyltransferase%2C RimJ/RimL family	90	2	43	1	1	1	0	0	0	0	43	Protein N-acetyltransferase%2C RimJ/RimL family(43)	NA(43)	678	690	689.72	1	11	CKFBNF_03160	PDKELN_03045	LKGPGJ_03065	NHAIDG_08655	JJKLOM_08595	KLBIAF_10565	PKJNML_06350	BJCJFD_06110	CJEPLJ_03945	NCGJEB_01840	FNBPHI_03650	AJPFBF_05895	IONAJF_07440	HDDGPA_05015	LGAECN_10550	KBFPKB_04025	NOBNEL_02465	BKGCNC_07120	DDPEJL_03950	CFCNNG_04065	LOBFBJ_06720	HJCBJE_04775	BDBJLG_08190	FMMFDJ_08175	GKNDCE_06940	FDHOFG_07160	CEFCCI_09085	KMLEIH_08155	NDPNHO_04865	OIKCCF_01230	EFBKIP_06530	CONBLF_01785	IAMNGM_08050	OCDEKD_01750	ABIDKG_03860	FIMDAF_09895	CNHFKG_02760	KGMBGA_05460	MLFLFD_08810	JAJJBD_02770	NOAGLL_00890	GHNCNC_03125	FPFKPL_01005
g00990_00006	g00990	NA	glutamate--tRNA ligase	98	1	43	1	1	1	0	0	0	0	43	glutamate--tRNA ligase(43)	NA(43)	1395	1464	1404.63	1	12	CKFBNF_03165	PDKELN_03050	LKGPGJ_03070	NHAIDG_08650	JJKLOM_08590	KLBIAF_10560	PKJNML_06355	BJCJFD_06115	CJEPLJ_03950	NCGJEB_01845	FNBPHI_03645	AJPFBF_05890	IONAJF_07445	HDDGPA_05010	LGAECN_10555	KBFPKB_04020	NOBNEL_02460	BKGCNC_07125	DDPEJL_03945	CFCNNG_04060	LOBFBJ_06715	HJCBJE_04780	BDBJLG_08195	FMMFDJ_08170	GKNDCE_06945	FDHOFG_07165	CEFCCI_09090	KMLEIH_08150	NDPNHO_04870	OIKCCF_01225	EFBKIP_06525	CONBLF_01780	IAMNGM_08055	OCDEKD_01745	ABIDKG_03865	FIMDAF_09900	CNHFKG_02755	KGMBGA_05455	MLFLFD_08805	JAJJBD_02775	NOAGLL_00895	GHNCNC_03130	FPFKPL_01010
